Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean
80,429800,3,5,26,11607,8.666666667,10.26320288,2321.4,4413.201989,27066.07725,18.61330852,61400.0,161909.1881,473.0,107438.25,0,0,0,1,0,0,72,112,6.979990693,11.63331782,0,10135,1292.555556,3350.634907,1454.125,8.666666667,2321.4,8192,229,0,0
6980912,217,1,0,6,2,5.966461771613576,0.0,0.0503073425796354,0.0,460539.57343555486,117977.81023842515,8.234767598704966,0.0,8.050307342579636,0.0,0,0,0,0,1,0,36,0,44551.00095709917,3936.985553825507,4,5,6.0,0.0,8.0,5.016769114193211,3.0503073425796354,34,201,0,0
80,5833964,5,0,30,0,6.0,0.0,0.0,0.0,5.142301187,0.857050198,1458491.0,2915636.039,1458491.0,0.0,0,0,0,0,1,0,100,0,0.857050198,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,2019,5831945
8566634,144,2,0,6,4,5.520834260025824,0.0,0.0,0.0,426812.9934508564,128967.0715086672,13.27082313971594,0.0,14.250011120309884,0.0,0,0,0,0,1,0,42,10,42105.26316,250000.0,4,5,4.958331479948352,0.0,9.958331479948352,4.958331479948352,2.874994439845058,34,135,0,0
53526,118,1,1,0,0,0.0,0.0,0.0,0.0,0.0,16949.15254,118.0,0.0,0.0,0.0,0,0,0,0,1,0,32,32,8474.576271,8474.576271,0,0,0.0,0.0,0.0,0.0,0.0,130,65535,0,0
15086997,138,1,0,7,0,4.000778765841014,0.0,0.0007787658410143,0.0,300000.0,127125.87082903871,8.010902721774201,0.0,21.9890972782258,0.0,0,0,0,0,1,0,42,24,249838.09868042235,249678.40744300824,4,4,5.000778765841014,0.0,10.0,5.999221234158986,2.000778765841014,34,0,0,0
14849671,95,2,1,8,8,6.0,0.0,2.7281806964015374,0.0,320590.3997893234,219793.8692427596,14.365754958270257,0.0,20.0,0.0,0,0,0,0,1,0,42,20,42105.26316,22651.6086332052,4,5,4.909393565467179,0.0,9.0,4.909393565467179,5.456361392803075,34,94,0,0
80,6463847,5,0,30,0,6.0,0.0,0.0,0.0,4.641198964,0.773533161,1615961.75,3230835.559,1615961.75,0.0,0,0,0,0,1,0,100,0,0.773533161,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,1632,6462215
80,635751,3,6,26,11607,8.666666667,10.26320288,1934.5,2538.919278,18298.04436,14.15648579,79468.875,223892.2391,720.5,127143.2,0,0,0,1,0,0,72,132,4.718828598,9.437657196,0,5840,1163.3,2138.329153,1292.555556,8.666666667,1934.5,8192,229,0,0
80,101094022,8,7,392,11595,49.0,131.3533946,1656.428571,2121.983652,118.5727876,0.148376726,7221001.571,26200000.0,14400000.0,16800000.0,1,0,0,0,0,0,244,232,0.079134254,0.069242472,0,4355,749.5625,1578.473819,799.5333333,49.0,1656.428571,0,235,16976,98100000
80,99440728,9,7,730,11595,81.11111111,154.1715315,1656.428571,2120.732252,123.9431795,0.160899868,6629381.867,25300000.0,12400000.0,16600000.0,1,0,0,0,0,0,256,232,0.090506176,0.070393692,0,5792,725.3529412,1530.857437,770.6875,81.11111111,1656.428571,0,235,18023,98100000
5825,24,1,1,2,6,2.0,0.0,6.0,0.0,333333.3333,83333.33333,24.0,0.0,0.0,0.0,0,0,0,1,0,0,24,20,41666.66667,41666.66667,2,6,3.333333333,2.309401077,5.0,2.0,6.0,1024,0,0,0
80,99438834,8,7,596,11595,74.5,132.4214053,1656.428571,2119.480114,122.5979782,0.150846499,7102773.857,26200000.0,14200000.0,16600000.0,1,0,0,0,0,0,236,232,0.080451466,0.070395033,0,5792,762.3125,1571.172077,813.1333333,74.5,1656.428571,0,235,17956,98100000
80,6165881,5,0,30,0,6.0,0.0,0.0,0.0,4.865484754,0.810914126,1541470.25,3080947.941,1541470.25,0.0,0,0,0,0,1,0,100,0,0.810914126,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,2989,6162892
9436967,160,1,1,6,2,5.073341134206206,0.0,2.073341134206206,0.0,520121.8921052207,88957.448126887,8.51338793944344,0.0,13.51338793944344,0.0,0,0,0,0,1,0,26,2,95019.09302101714,231664.7164484485,4,6,5.0,0.0,7.146682268412412,5.926658865793794,6.0,34,143,0,0
54874,180,2,1,12,6,6.0,0.0,6.0,0.0,400000.0,200000.0,18.0,0.0,18.0,0.0,0,0,0,0,1,1,38,38,200000.0,200000.0,6,6,6.0,0.0,9.0,6.0,6.0,31,256,0,0
10607404,95,1,1,10,0,6.0,0.0,5.0,0.0,428635.0,43953.98266,19.0,0.0,17.0,0.0,0,0,0,0,1,0,42,9,42105.26316,129462.0,5,4,5.0,0.0,8.0,6.0,0.0,34,-1,0,0
57452,83829317,7,6,11595,346,1656.428571,2118.227235,57.66666667,132.468361,142.4442,0.155077012,6985776.417,24100000.0,14000000.0,16700000.0,0,0,0,0,1,0,232,164,0.083503006,0.071574006,0,4344,852.9285714,1665.266921,918.5384615,1656.428571,57.66666667,235,229,11006,83700000
8833,48,2,0,12,0,6.0,0.0,0.0,0.0,250000.0,41666.66667,48.0,0.0,48.0,0.0,0,0,0,0,1,0,40,0,41666.66667,0.0,6,6,6.0,0.0,9.0,6.0,0.0,23,-1,0,0
